"Which of these settings would you find on a washing machine?","Spin cycle","News cycle","Creamsicle",0,1
"Known for naming World Heritage sites, UNESCO is a part of what agency?","United Nations","Interpol","World Bank",0,4
"What US president officially named the White House the 'White House'?","James Madison","George Washington","Teddy Roosevelt",2,7
"An initiative from the Netherlands to promote what was in the news this week?","Road safety","Healthy eating","Computer literacy",0,12
"In the UK, Girl Guides between the ages of five and seven are known as what?","Rangers","Rainbows","Brownies",1,8
"To preserve its authentic atmosphere, what has the English village of Theydon Bois refused to install?","Speed humps","Street lights","Parking meters",1,8
"What do photographers normally tell their subjects to say?","Cheese","Bacon","Jalapeño",0,1
"Before becoming the title of a major Russian newspaper, 'Izvestia' usually translated to which of these in English?","Delivered messages","Blanket coverage","Truth",0,10
"Which of these would you use to eliminate creases from your clothes?","Steam boat","Steam iron","Steam train",1,2
"What traditional event in Nottingham began in the late 13th century?","Goose fair","Horse market","Town crier contest",0,5
"Which of these is the name of a British daily newspaper?","The Daily Telegraph","Morning Malarkey","Nightly Memo",0,1
"Which of these is illegal to do in the United Kingdom without a license?","Swim in a pool","Operate a gas stove","Watch live television",2,8
"A robbery in 2014 in Brazil led to fears of a shortage in which of the following?","Emoji stickers","Pokémon cards","Panini stickers",2,10
"Which of the following failed to make the top ten most popular girls' names in England and Wales in 2017?","Ella","Emily","Evie",2,10
"If Christmas Day falls on a Friday, on which day would New Year's Day fall?","Saturday","Friday","Thursday",1,4
"According to a recent study, young people in which of these countries are most likely to engage in political activity?","UK","Denmark","Portugal",1,12
"Bradford became the first ever city to receive which of these honours?","City of Film","City of Sustainability","City of Culture",0,6
"In Australia, general elections usually take place on which day of the week?","Saturday","Friday","Sunday",0,8
"Celebrating their birthday this week, what character is famous for urging people to prevent wildfires?","Stormi Webster","Ichabod Crane","Smokey Bear",2,1
"Which of these members of the House of Lords was NOT born in Britain?","Baroness Kingsmill","Lord Pickles","Lord Crisp",0,11
"In the UK, the only calendar month beginning with “D” falls in which of these seasons?","Summer","Winter","Spring",1,3
"Which of these London landmarks cost the most to build?","The Shard","City Hall","London Eye",0,5
"Which of these was used by native Australians primarily for communicating over great distances?","Bullroarer","Gumleaf","Boomerang",0,8
"How many calendar months begin with the letter “J”?","3","15","12",0,1
"What do people usually cross to wish for good luck?","Their fingers","Their eyes","The road",0,1
"In education, what does the ''B' stand for in BTEC?","Boarding","Business","Brilliant",1,3
"Before turning to circles, the USDA’s diagram of a balanced diet was in the shape of what?","Octagon","Trapezoid","Pyramid",2,4
"Which animal does NOT get a turn in the rotation on the Chinese zodiac calendar?","Rat","Rabbit","Duck",2,6
"Tibetan Buddhists use what term to describe the state of being between one life and the next?","Nirvana","Karma","Bardo",2,7
"In the United States, Thanksgiving takes place on the fourth Thursday of which month?","July","December","November",2,3
"In Denmark, how do people traditionally welcome the New Year?","Wear coloured underwear","Jump off a chair","Eat seven meals",1,12
"What name is normally given to an organised research centre for policies?","Think tank","Think bunker","Think tunnel",0,3
"In which of these countries is a comma generally used instead of a dot in a decimal number?","India","Mexico","France",2,8
"The Chinese philosopher Laozi is considered the founder of what religion?","Shinto","Zoroastrianism","Taoism",2,8
"Which of the following is one of the twelve animals of the Chinese Zodiac?","Rooster","Raccoon","Rhinoceros",0,3
"The Russell Group of universities takes its name from which of the following?","Alfred Russel Wallace","The Russell Hotel","Bertrand Russell",1,11
"Which of these workout or yoga movements requires you to touch the floor with your hands?","Downward-facing dog","Mountain","Warrior",0,4
"The current pope named himself after what?","Saint","Shepherd","Prior pope",0,8
"What do couples often read to each other during their wedding ceremony?","Wedding meter readings","Wedding vows","Wedding voucher codes",1,1
"Which of these countries' national libraries has the largest catalogue of items?","Germany","Spain","Denmark",2,9
"Iceland does NOT have which of the following?","A World Heritage Site","A constitution","A public rail system",2,7
"According to legend, William Tell used a bow and arrow to shoot what off his son’s head?","“X-Files” DVD box set","Apple","Yankees hat",1,1
"By definition, a person with “tall poppy syndrome” dislikes what?","Heights","Poppies","Successful people",2,6
"Which of these news publications closed months after its introduction in 2016?","City AM","The New Day","The Week",1,7
"A finely attired person is said to be dressed in what way?","As a scarecrow","To the nines","Like a fruit salad",1,2
"The “Five K's” are associated with which major religion?","Hinduism","Sikhism","Buddhism",1,5
"In politics, a reversal of policy is usually known as what?","U-turn","Q-turn","P-turn",0,3
"In the early noughties, the Empire State Building was illuminated green to celebrate which of these?","Popeye","The Hulk","Shrek",0,11
