"People born in the US between 1925 and 1945 are often referred to as what?","Silent generation","Lost generation","Beat generation",0,10
"Which of these made its first ever journey in 1914?","High-speed train","Cruise ship","Commercial plane",2,9
"Which of these so-called “lost cities' was brought to international attention by a US explorer turned senator?","Machu Picchu","Carthage","Angkor",0,8
"The first female pilot to fly solo from England to Australia was born where?","Edinburgh","Portsmouth","Hull",2,10
"Which country experimented with a new work-based calendar in the 1930s, colour coding workers' days off?","Soviet Union","China","Germany",0,9
"Who coined the phrase “survival of the fittest”?","Charles Darwin","William Golding","Herbert Spencer",2,8
"Which of these is a US president known by the initials JFK?","Jimmy F. Kimmel","Johnny F. Knoxville","John F. Kennedy",2,2
"In the 17th century, London's Covent Garden was a market specialising in which of the following?","Fruit and vegetables","Bread and cakes","Meat and fish",0,5
"Which of these was discovered during the construction of the A28 motorway in the Netherlands?","A mammoth's tusk","A Rembrandt sketch","An ancient boat",2,11
"Which of these Labour politicians shares his first name with his party's founder?","Keir Starmer","Tom Watson","Barry Gardiner",0,6
"Which of these first started operating in 1911 on the London Underground?","Escalators","Automatic doors","Ticket machines",0,7
"Sri Lanka was the first country to have which of the following?","Female Prime Minister","Buddhist president","Child Emperor",0,7
"Which of the following was imposed on Russian society in the late 17th century?","Soap tax","Beard tax","Spectacles tax",1,9
"The first Hollywood feature movie shown on a flight was an adaptation of whose work?","Agatha Christie","Arthur Conan Doyle","HG Wells",1,7
"Who was British Prime Minister during the Abdication crisis?","Neville Chamberlain","Stanley Baldwin","Ramsay MacDonald",1,8
"Which US president reportedly spoke Chinese?","Richard Nixon","Herbert Hoover","Theodore Roosevelt",1,7
"In early maps of the seas, how were sailors depicted as repelling sea monsters?","Playing the trumpet","Using mirrors","Feeding them pigs",0,12
"What was the last Soviet state to leave the USSR?","Russia","Turkmenistan","Kazakhstan",2,9
"Which of these places was at the heart of the global lace industry in the 19th century?","Norwich","Newcastle","Nottingham",2,6
"Which country changed its timezone in the Noughties to allow a “fairer distribution” of sunrise?","Cuba","North Korea","Venezuela",2,10
"The Environmental Protection Agency was formed under the US president who held the office during what event?","Moon landing","Cuban Missile Crisis","Fall of Berlin Wall",0,11
"Napoleon Bonaparte was once famously turned upon by a group of which animals?","Rabbits","Seagulls","Bears",0,7
"What was the name of the pass through which Leonidas led the Spartans?","Khyber","Thermopylae","Brenner",1,4
"Which of these was an ancient trade route?","Spandex Superhighway","Silk Road","Rayon Expressway",1,1
"Who was the last British monarch NOT to be crowned?","Charles II","Edward VIII","George VI",1,6
"Which of these historical figures appeared on the Bank of England's £5 note between 1990 and 2003?","Florence Nightingale","George Stephenson","Christopher Wren",1,7
"Which of these US presidents NEVER had a vice president?","Gerald Ford","Calvin Coolidge","Millard Fillmore",2,12
"Who was the first American woman to be named “Time” magazine’s Person of the Year?","Wallis Simpson","Amelia Earhart","Jackie Kennedy",0,9
"Which of these events occured in Berlin in November 1989?","First hipster sighting","The fall of the Wall","Invention of sausages",1,2
"Where did Presidents Reagan and Gorbachev hold the first of their summit meetings in the 80s?","Geneva","Reykjavik","Helsinki",0,9
"Of these three names, which was the most popular for baby boys born in England and Wales in 1984?","Martin","Gareth","Dean",1,12
"What relation was US president Thomas Jefferson to his acting first lady?","Her brother","Her cousin","Her father",2,9
"What did Margaret Thatcher's longest-serving Cabinet minister famously call one of his dogs?","Tax","Budget","Chancellor",1,12
"Which of these was the first European explorer to reach India by sea?","Vasco da Gama","Christopher Columbus","Ferdinand Magellan",0,6
"Which sitting US president was arrested for causing a traffic accident?","Franklin Pierce","Calvin Coolidge","Abraham Lincoln",0,10
"Which of these historical figures tutored Alexander the Great?","Aristotle","Henry VIII","Leonardo da Vinci",0,5
"Which of these people received the Lenin Peace Prize, the Soviet equivalent of the Nobel Peace Prize?","Charlie Chaplin","Pablo Picasso","Mother Teresa",1,10
"Which one of these was NOT a nation where the Battle of the Bulge was fought?","France","Belgium","The Netherlands",2,13
"A conflict that took place in the 1830s between France and Mexico is known by which of these names?","The Umbrella War","The Pig War","The Pastry War",2,12
"Which of these magicians reportedly worked for the British military during World War II creating camouflage deceptions?","Tommy Cooper","Jasper Maskelyne","David Nixon",1,11
"Which ship sank on the return journey after claiming Newfoundland for Elizabeth I?","HMS Swiftsure","HMS Golden Hind","HMS Squirrel",2,11
"Who stood in the same constituency as Margaret Thatcher in 1987 and Theresa May in 2017?","Lord Buckethead","Earl Sandpaperface","The Duke of Cheesenose",0,4
"Who delivered Britain's first live televised budget speech?","Nigel Lawson","Norman Lamont","John Major",2,9
"James is NOT the actual first name of which of these British Prime Ministers?","Ramsay MacDonald","Gordon Brown","David Cameron",2,8
"Which three S's did The Salvation Army founder believe the charity provided?","Soup / Soap / Salvation","Sun / Sand / Seafood","Spam / Spuds / Salt",0,3
"Which of these languages is NOT present on The Rosetta Stone?","Egyptian","Korean","Greek",1,4
"Which US politician published a memoir entitled “The Restless Wave”?","John McCain","Jesse Jackson","John F. Kennedy",0,6
"The US Army's Stargate Project investigated which of these phenomena?","Alien life","Psychic powers","Time travel",1,7
"A statue of which of these politicians is NOT found in London's Parliament Square?","Benjamin Disraeli","Abraham Lincoln","William Gladstone",2,9
"In 1620, which of these was the first name of one of the passengers on The Mayflower?","Wrestling","Leaving","Blessing",0,10
"What is the English translation of the political newspaper founded by Vladimir Lenin in 1900?","The Sickle","The Truth","The Spark",2,12
"What plan did the US army consider as a response to the Soviet Sputnik launch?","Send Elvis into space","Scrap NASA","Blow up the moon",2,7
"Who disguised himself as a butterfly collector when he was a spy for the British army?","Lord Baden-Powell","Rudyard Kipling","Winston Churchill",0,12
