"In the original comic strip, Popeye got his strength from which of these?","Rubbing a hen","Drinking rum","Eating spinach",0,7
"Which literary term is often considered to have been inspired by a serialised novel of the 1870s?","Cliffhanger","Murder mystery","Flashback",0,9
"Which of these influential books was described by one reviewer as a 'heavy-handed piece of propaganda'?","Brave New World","Animal Farm","The Handmaid's Tale",0,10
"Which children's author was a Cadbury’s chocolate tester as a child?","Roald Dahl","Lewis Carroll","Jacqueline Wilson",0,4
"What is the last sentence of George Orwell's book “1984”?","He loved Big Brother","He hated Big Brother","He watched Big Brother",0,4
"With whom did Arthur Conan Doyle have a close friendship and then a bitter feud?","Charlie Chaplin","Sigmund Freud","Harry Houdini",2,7
"Where did Charles Dickens describe as the “greatest place in the world'?","Portsmouth","Broadstairs","Chigwell",2,8
"The children's book “The Very Hungry Caterpillar” was inspired by which object?","Pillow case","Hole punch","Rorschach inkblots",1,10
"'The Prison Notebooks' is the title of a work by which 20th century philosopher?","Michel Foucault","Bertrand Russell","Antonio Gramsci",2,6
"What is Sinbad's profession in “The Thousand and One Nights” stories?","Nightclub owner","Driving instructor","Sailor",2,1
"Which of these phrases opens a monologue from Shakespeare's “As You Like It”?","If you wanna be my lover","All the world's a stage","Who ate all the pies?",1,1
"In a Roald Dahl children’s book, a boy named James goes inside a giant what?","Grocery store line","Twitter argument","Peach",2,2
"Which of these fictional rabbits was invented first?","The March Hare","Velveteen Rabbit","Peter Rabbit",0,14
"Who created Miss Marple?","Adrian Chiles","Agatha Christie","Ashley Cole",1,3
"“A Novel Without a Hero” is the subtitle for which of these books?","Robinson Crusoe","Jane Eyre","Vanity Fair",2,7
"Which of these animals sat on the shoulder of Long John Silver?","Rhinoceros","Parrot","Hippopotamus",1,1
"The movie ‘‘Chitty Chitty Bang Bang’’ was based on whose novel?","C.S. Lewis","Roald Dahl","Ian Fleming",2,5
"Where is William Shakespeare's “Romeo and Juliet” mainly set?","Skegness","Pyongyang","Verona",2,1
"A novel by which of these authors takes its title from Keats’s “Ode to a Nightingale”?","F. Scott Fitzgerald","George Eliot","Evelyn Waugh",0,11
"What kind of animal was Herman Melville's Moby Dick?","A hedgehog","A penguin","A whale",2,2
"What is the name of the family Paddington Bear lives with when he comes to London?","Green","Brown","White",1,4
"“The Story of Tracy Beaker” was a bestseller by which author?","Michael Morpurgo","Jacqueline Wilson","Julia Donaldson",1,4
"A person described as a “prestidigitator” does what?","Conjuring tricks","Manicures","Shorthand reports",0,5
"The title character in which of these children's rhymes is believed to have been based on an English MP?","Bobby Shafto","Humpty Dumpty","Jack Horner",0,6
"The recipient of the first Booker Prize award also held which of these roles?","MD, BBC Radio","Chairman, British Museum","CEO, British Council",0,12
"Stephen King's fictional town of Castle Rock is named as an homage to a book by which writer?","William Golding","Bram Stoker","JRR Tolkien",0,9
"Which of these authors is NOT American?","EL James","Stephenie Meyer","Dan Brown",0,5
"“You've Got to Pick a Pocket or Two” is a song from a musical about which character?","Oliver Twist","Billy Elliot","Peter Piper",0,3
"In the Shakespeare play, who does Macbeth call a “cream-faced loon”?","His doctor","His servant","His son",1,9
"Which author wrote letters to his children supposedly from Santa, which were later published?","JRR Tolkien","Dr Seuss","Roald Dahl",0,11
"In Greek mythology, a centaur has the upper body of a human and the lower body of which animal?","Horse","Chihuahua","Budgie",0,2
"Which of these writers was a woman?","Ezra Pound","Evelyn Waugh","George Eliot",2,5
"Which of these scientists co-authored a children’s book that features an organisation called “TOERAG”?","Stephen Hawking","Robert Winston","Brian Cox",0,6
"Miss Trunchbull is the name of the main antagonist in which of these children's books?","Matilda","Charlotte's Web","The Witches",0,4
"Which of these is NOT the name of a ball used in the fictional sport played at Hogwarts?","Quaffle","Bludger","Snitcher",2,5
"Out of the following bestselling books, which sold the MOST copies in paperback in 2017 in the UK?","The Handmaid's Tale","The Girl on the Train","The Couple Next Door",2,9
"In Norse mythology, which of the following is the name of a majestic palace for slain warriors?","Ragnarök","Valhalla","Midgard",1,6
"Which of these books is non-fiction?","A Room With a View","A Room of One's Own","Room at the Top",1,9
"In the title of the Shakespeare play, the 'Two Gentlemen' are from where?","A virtual world","V Festival","Verona",2,2
"Which of these words is NOT included in the title of a “Harry Potter” book?","Wand","Goblet","Stone",0,6
"Which of these authors wrote a book that was adapted into an Oscar winner for Best Picture?","Jules Verne","Mark Twain","Jane Austen",0,15
"Which of these ingredients is NOT put in the cauldron by the witches in Macbeth?","Baboon's blood","Adder's fork","Wolf's eye",2,11
"Which national park features in Arthur Conan Doyle's “The Hound of the Baskervilles”?","New Forest","Dartmoor","Peak District",1,5
"In the story of “Cinderella”, what does the title character lose at a ball?","Her marbles","Her passport","Her slipper",2,2
"Which series of fantasy books features Ents?","The Chronicles of Narnia","The Lord of the Rings","His Dark Materials",1,4
"Which of these fictional characters' American counterpart is called “Waldo”?","Noddy","Wally","Roary",1,3
"Angel station on the London Underground is unique in which of these ways?","Longest escalator","Oldest station","Most platforms",0,7
