"Gibson and Fender are noted manufacturers of what?","Cameras","Motorbikes","Guitars",2,4
"Which TV presenter had the biggest-selling debut solo album in the UK in 2016?","Nick Knowles","Bradley Walsh","Alexander Armstrong",1,6
"Which of these bands shares its full name with a brand of candy?","Korn","Goo Goo Dolls","Squirrel Nut Zippers",2,8
"At the start of the famous Black Sabbath song, what device helped Ozzy Osbourne announce that he was “Iron Man”?","Oil drum","Telephone","Electric fan",2,13
"Including collaborations, which of these acts has spent the most weeks in the UK Top 40 singles chart?","Beyoncé","Rihanna","Madonna",1,9
"Which of these artists did NOT perform at the first ever MTV Video Music Awards?","Tina Turner","Michael Jackson","Rod Stewart",1,17
"Which artist changed music labels this week, promising to ensure fairer payouts to musicians?","Ed Sheeran","Adele","Taylor Swift",2,4
"Which of these acts was announced as a headliner for the next Reading and Leeds festival?","Foo Fighters","Muse","Stormzy",0,8
"Who has NOT been tipped this week to have a potential Christmas Number 1?","Millie Bobby Brown","Nick Knowles","David Attenborough",0,12
"Who collaborated with Dougal and Gammer on the track “Stay Young”?","Kenny Ken","Darren Styles","Commander Tom",1,6
"Which of these acts did NOT leave their studies mid-course to pursue a pop career?","Ellie Goulding","Florence Welch","Jess Glynne",2,8
"What was the first ever song to be performed in space and beamed back to Earth?","Song 2","Space Oddity","Jingle Bells",2,12
"Which of the following is NOT a Spice Girl?","Mel B","Mel C","Vitamin D",2,1
"The woman who wrote Aerosmith’s “Armageddon” soundtrack hit also wrote songs for who?","Shania Twain","Paula Abdul","Milli Vanilli",2,17
"What is the name of the chart-topping album released by the Foo Fighters in 2017?","Iron and Rust","Concrete and Gold","Plastic and Platinum",1,4
"According to a report this week, which artist is the most commonly chosen on Spotify's “Sleep” playlist?","Ed Sheeran","Sam Smith","Adele",0,7
"Where was it revealed that Stormzy is to headline Glastonbury?","At his mum's house","In Oxfam shops","On TikTok",1,9
"Which of these musicians penned a song for the Harry Potter movie franchise, only to have it turned down?","Paul McCartney","Bruce Springsteen","Mick Jagger",1,10
"An actress from which of these movies features in the music video for Janelle Monáe’s “PYNK”?","Black Panther","Spider-Man: Homecoming","Thor: Ragnarok",2,11
"Kettledrums belong to which section of a traditional orchestra?","Wind","Percussion","String",1,3
"Ed Sheeran co-wrote a UK Number 1 for which of these acts?","Bruno Mars","Justin Bieber","Zayn Malik",1,5
"Which of the following artists has NOT had a posthumous UK number one single?","Michael Jackson","Jimi Hendrix","George Harrison",0,11
"Which of these is NOT the name of a Spice Girl?","Sporty Spice","Sneaky Spice","Scary Spice",1,3
"Former members of New Edition reformed as what group?","Bell Biv DeVoe","Boyz II Men","All-4-One",0,7
"Which of these hit ’80s songs is a cover?","Papa Don’t Preach","I Love Rock ‘n’ Roll","Just Can’t Get Enough",1,12
"Which music act won four awards at this year's EMAs?","Ariana Grande","Camila Cabello","Dua Lipa",1,6
"Songwriter Leonard Cohen named his daughter after which of these people?","A Spanish poet","A Greek dancer","A French painter",0,8
"Who did the Spice Girls announce as the support act for their 2019 tour?","Jess Glynne","Zara Larsson","Clean Bandit",0,12
"Who is the only female artist to have featured on official UK Number 1 singles in seven consecutive years?","Madonna","Rihanna","Beyoncé",1,12
"A musical based on songs by which of these acts will open in London in January 2019?","Johnny Cash","Dolly Parton","Diana Ross",1,6
"In which country has the wife of a former president had five top ten albums?","France","Ireland","The Philippines",0,10
"Which band’s song “I Don’t Want to Miss a Thing” featured in the movie “Armageddon”?","Aerospace","Mint Aero","Aerosmith",2,3
"What is the name of the hit single by Adele from 2015?","Let's be having you","Hello","Enough said",1,3
"Which of these is the title of Rihanna's 2007 hit single?","Umbrella","Awning","Gazebo",0,1
"In the 2011 hit “Price Tag”, Jessie J claimed that “it's not about” which of these?","Pedestrianisation","The money","The coconuts",1,1
"Dappy, Tulisa and Fazer formed which British group?","N-Dubz","A-Team","Z-Listers",0,2
"Which animated character topped the singles chart in 2005?","Crazy Frog","Zany Lizard","Wacky Snail",0,3
"Who did Snoop Dogg team up with on the 2018 track “Moves”?","Sam Smith","George Ezra","Olly Murs",2,4
"Which of these artists is currently a UN Goodwill Ambassador?","Iggy Azalea","Taylor Swift","Ellie Goulding",2,6
"Which of these was the first artist to have nine UK top 10 singles from the same album?","Jess Glynne","Calvin Harris","Ed Sheeran",1,7
"Which act has had the biggest selling album globally since 2000?","Eminem","Adele","Michael Jackson",0,8
"Which of these singers appeared in two movies that were Oscar-nominated in the same year?","Lady Gaga","Janelle Monáe","Queen Latifah",1,9
"Which of these Australian former soap stars has had a UK number one single?","Dannii Minogue","Holly Valance","Natalie Imbruglia",1,10
"Which of these acts has released an acoustic reworking of one of her previous albums?","Grimes","St Vincent","Bat For Lashes",1,11
"Which act was at number one in the UK singles chart on the first day of the year 2000?","Robbie Williams","Oasis","Westlife",2,12
"Which of these movie soundtracks has sold the most copies in the US?","Forrest Gump","Frozen","Grease",0,11
"Which group had a UK hit in 1996 with a cover of a chart-topper from 1979?","Bread","Cream","Cake",2,12
"In a recent Guardian ranking of Queen songs, which of these tracks finished highest?","I Want To Break Free","Radio Ga Ga","Killer Queen",2,15
"Which of these is a children's song which went viral in 2018?","Juvenile Octopus","Infant Catfish","Baby Shark",2,2
"Which of these music acts does NOT contain brothers?","Daft Punk","Disclosure","Beach Boys",0,6
"The Bon Jovi track “You give love a bad name” was originally written for which act?","Guns N' Roses","Bonnie Tyler","Aerosmith",1,7
"Which singer thanked fans on Instagram to mark the 20th anniversary of her first hit?","Madonna","Mariah Carey","Britney Spears",2,2
"Which of these toys gave its name to a number one single by Aqua?","Barbie","Furby","Tamagotchi",0,3
"The musical “Bat out of Hell” is based on songs made famous by which act?","Meat Loaf","Black Eyed Peas","Spice Girls",0,3
"Which of these actors was a member of the American band Phantom Planet?","Jason Schwartzman","Adrien Brody","Luke Wilson",0,7
"Which of these is the title of a bestselling album by Coldplay?","Creepy Chronicles","Phantom Parables","Ghost Stories",2,3
"Which of these was NOT a pseudonym David Bowie used when writing e-mails?","Milton Keynes","Mr Showbiz","Bognor Regis",2,9
"Which musician was the first to receive a busker's licence for the London Underground?","Ed Sheeran","Julian Lloyd Webber","Paul McCartney",1,12
"The name of which of these instruments translates to "jumping flea" in English?","Accordion","Trombone","Ukulele",2,4
"At the 2018 Grammys who became the first solo male artist for 25 years to win Record, Album and Song Of The Year?","Bruno Mars","Ed Sheeran","Drake",0,6
"The musical “Everybody's Talking About Jamie’’ was co-written by a member of which group?","Coldplay","The Script","The Feeling",2,7
"“She came from Greece, she had a thirst for knowledge” are the opening words of which hit?","Common People","Parklife","Wonderwall",0,4
"Who was the last Spice Girl to join the group?","Baby","Ginger","Scary",0,8
"Which of these band names was created by the mother of one of the singers?","New Kids on the Block","Backstreet Boys","*NSYNC",2,12
"Which song contains the line “Scaramouche, Scaramouche will you do the fandango”?","Abide With Me","Land of Hope and Glory","Bohemian Rhapsody",2,1
"Which of these was the title of a bestselling single by Dua Lipa in 2017?","Broken Bye-laws","Old Guidelines","New Rules",2,3
"Yo-Yo Ma is one of the world’s great players of what instrument?","Harmonica","Clarinet","Cello",2,5
"How do flutes used in jazz typically differ from flutes used to perform classical music?","Extra keys","Longer","No difference",2,17
"In his youth, Rod Stewart lost a job as a wallpaper designer for which reason?","He is colour blind","Singing at work","Using too much tartan",0,8
"Which of these actors has starred in a P. Diddy music video?","Ben Stiller","Matt Damon","Bill Murray",0,9
"Which of these artists has won a Grammy Award?","Snoop Dogg","Justin Bieber","Nicki Minaj",1,11
"In 2017, NME magazine declared that which song contained the greatest guitar solo of all time?","Stairway To Heaven","Sweet Child O' Mine","Paranoid Android",1,5
"Which band reportedly requested M&M's at their gigs with all of the brown ones removed?","Black Sabbath","Van Halen","Led Zeppelin",1,9
"Which singer's first released song was on a makeup brand's compilation album?","Selena Gomez","Taylor Swift","Katy Perry",1,13
"Which writer once released an album on the same label as the rock group Genesis?","John Betjeman","Douglas Adams","Terry Pratchett",0,15
"Which of these is the title of Ed Sheeran’s bestselling single of 2017?","Shape of You","Pale Shadow of Me","Monstrosity of Us",0,2
"Which of these performers is the daughter of two opera singers?","Charlotte Church","Katherine Jenkins","Rosamund Pike",2,12
"Which of these 80s TV “stars” recorded a cover of the Beatles song “I Want to Hold Your Hand”?","Metal Mickey","ALF","Buck Rogers",0,5
"What was the first video ever to be repeated on MTV?","Money for Nothing","You Better You Bet","In the Air Tonight",1,10
"A former Beatles  member wrote a song based on the last words of which artist?","Pablo Picasso","Salvador Dali","Andy Warhol",0,8
"Which of these artists has an album with the longest title?","Nine Inch Nails","The Wu-Tang Clan","Fiona Apple",2,12
"Which of these was the name of ABBA's 1976 UK number one single?","Dancing Queen","Prancing Princess","Swaggering Duchess",0,2
"Where does time “fly by” in George Ezra's hit song?","The orange and purple","The blue and red","The yellow and green",2,5
"The opening lines of which song are “It's a God-awful small affair to the girl with the mousy hair”?","Life on Mars","Life on Saturn","Life on Pluto",0,4
"Which of these 90s hits reached number one in the UK singles chart?","Some Might Say","Bitter Sweet Symphony","Torn",0,10
