"Which of these is thought to be a possible cause of the mass extinction of non-avian dinosaurs?","King Kong","Pokémon","An asteroid",2,1
"Some dinosaurs had bones that contained which substance?","Tomato soup","Curly fries","Air",2,2
"Which of these is the name of a dinosaur considered to be one of the most intelligent?","Troodon","Thesaurus","Studious",0,3
"Which of these is the closest living relative to the T-Rex?","Chicken","Iguana","Crocodile",0,4
"Dinosaurs first appeared during which of these geological periods?","Jurassic","Triassic","Cretaceous",1,5
"Which scientist originally coined the term “dinosaur”?","Richard Owen","Louis Leakey","Charles Darwin",0,6
"Which of these is NOT scientifically a type of dinosaur?","Gasosaurus","Achillobator","Pterodactyl",2,7
"Dinosaurs are typically classified into two main categories based on which body part?","Teeth","Spine","Pelvis",2,8
"Inspired by the country in which it was discovered, which of these is an actual generic name of a dinosaur?","Ecuadorosaurus","Perusaurus","Argentinosaurus",2,9
"Which of these dinosaurs was NOT discovered in Britain?","Panoplosaurus","Neovenator","Iguanodon",0,10
"Which of the following is true about the Megalosaurus?","Heaviest ever dinosaur","Oldest known dinosaur","First named dinosaur",2,11
"American palaeontologist Edward Cope famously made which error when reconstructing a dinosaur skeleton?","Put a skull on its tail","Put a claw on its nose","Put teeth on its feet",0,12
"Fingerprints are obtained from which part of the body?","Elbows","Ankles","Fingers",2,1
"Which of these planets is the hottest?","Jupiter","Venus","Mercury",1,7
"Due to its density, which of the following would float if placed on water?","Pluto","Saturn","Neptune",1,10
"Which planet's mass is more than 300 times larger than that of Earth?","Venus","Saturn","Jupiter",2,4
"Which of these armoured dinosaurs was named most recently?","Tarchia","Minmi","Gastonia",2,12
"The tympanic membrane is commonly known by what name?","Eyelid","Eardrum","Nasal bone",1,4
"Which of these scientists does NOT have an actual chemical element named after them?","Albert Einstein","Isaac Newton","Marie Curie",1,8
"Which of these gases is most abundant in Earth’s atmosphere?","Argon","Helium","Hydrogen",0,6
"Which of these famous scientists did NOT marry his first cousin?","Charles Darwin","Nikola Tesla","Albert Einstein",1,13
"Which of these occasions is celebrated based on movements of the moon?","Chinese New Year","Comic Relief","FA Cup final",0,2
"Which chemical element is named after a village in Scotland?","Beryllium","Strontium","Gallium",1,6
"Which term describes the idea that a small change can produce significant effects elsewhere?","Butterfly effect","Moth dust","Daddy longlegs footprint",0,3
"The first Space Shuttle commander also caused controversy by smuggling what into space?","Photo of daughter","Corned beef sandwich","Lucky rabbit's foot",1,10
"The name of the deepest point of the Earth's oceans was inspired by which of the following?","Japanese submarine","NASA satellite","Royal Navy vessel",2,5
"The oldest human fossils found in Africa were discovered in which of the following?","Kenyan valley","Moroccan mine","Egyptian tomb",1,12
"Which of these people gave up studying eye medicine in Vienna because they found it too hard to understand German?","Arthur Conan Doyle","Florence Nightingale","Charles Darwin",0,7
"Fluoride is commonly added to the public water supply to help prevent what?","Frostbite","Tooth decay","Baldness",1,4
"In chemistry, covalent bonds share pairs of what?","Protons","Electrons","Neutrons",1,5
"Helium, neon and argon are examples of which type of gas?","Noble gas","Virtuous gas","Righteous gas",0,4
"Which of the following space exploration projects was the MOST expensive?","Curiosity Mars rover","Cassini Saturn mission","Juno Jupiter probe",1,8
"What name is given to the area around a star where conditions are just right to allow liquid water to exist?","Princess Zone","Fairytale Zone","Goldilocks Zone",2,3
"Carbon dioxide and methane are examples of which type of gases?","Shed stenches","Greenhouse gases","Verandah vapours",1,2
"The asteroid belt lies primarily between the orbits of which two planets?","Mars / Jupiter","Saturn / Neptune","Venus / Earth",0,5
"The PCAT, a test required for pharmacy school, specifically tests knowledge of what?","First aid","Organic chemistry","Medicinal effects",1,10
"Nimbus and cumulus are types of what?","Comets","Volcanoes","Clouds",2,4
"Alliumphobia is a word used to describe the fear of what?","Alligators","Aluminium","Garlic",2,6
"Which of these elements forms part of the chemical formula of glucose?","Sodium","Hydrogen","Helium",1,8
"Brass is made of a mixture of which two elements?","Copper / Zinc","Helium / Carbon","Tin / Sodium",0,4
"Approximately how long does it take for the earth to revolve around the sun?","24 hours","One month","A year",2,5
"Who helped create the first vaccination for rabies?","Louis Pasteur","Louis Walsh","Louis Armstrong",0,3
"What were the first words of the second man to land on the moon?","Beautiful view","Isn't it magnificent?","Incredible desolation",0,12
