"Andy Murray replaced which tennis player as the British number one in 2006?","Tom Chickendude","Tim Henman","Tony Roosterlad",1,1
"What very modern sport features a trophy named for Apple co-founder Steve Wozniak?","Segway polo","Virtual golf","Drone jousting",0,9
"Which of these sports is also known as “chess on ice”?","Curling","Straightening","Braiding",0,1
"Which of these terms describes a win in the boxing ring?","Knockout","Keepy-uppy","Knees-up",0,2
"Which baseball pitch causes the ball to lose height as it approaches the plate?","Bendingball","Curveball","Loopyball",1,3
"In which of these sports is the net set highest?","Badminton","Tennis","Volleyball",2,4
"Which of these countries has won the ICC Cricket World Cup on more than one occasion?","Pakistan","West Indies","Sri Lanka",1,5
"Which of these drinks is also the nickname of a professional darts player known for his colourful hairstyle?","Moscow mule","Whisky mac","Snakebite",2,6
"In athletics, what normally weighs 2kg for men and 1kg for women?","Discus","Hammer","Shot put",0,7
"Which of these tennis players has NEVER won the end of season ATP singles finals?","Rafael Nadal","Grigor Dimitrov","Nikolay Davydenko",0,8
"In football, the back-pass rule was officially introduced at which of these events?","European Championships","Summer Olympics","World Cup",1,9
"Of these Formula 1 drivers, who won the most Grand Prix races?","Nigel Mansell","Jackie Stewart","Niki Lauda",0,10
"Which of these footballers has played for the highest number of clubs in the Premier League?","Marcus Bent","Craig Bellamy","Jermain Defoe",0,11
"Who was the first player to make six century breaks in a World Snooker Championship match at the Crucible?","Steve Davis","Ronnie O'Sullivan","Mark Selby",2,12
"Who is the only cricketer to have won Best Autobiography at the British Sports Book Awards?","Ian Botham","Andrew Flintoff","Nasser Hussain",2,9
"The sport sometimes known as 'frolf' is a combination of what two words?","Frisbee / golf","French / golf","Freaky / wolf",0,3
"Olympic sprinting events are officially measured in what unit?","Yards","Meters","Feet",1,7
"Which England attacker returned to make a farewell appearance for the national side this week?","Paul Gascoigne","Gary Lineker","Wayne Rooney",2,1
"It has been announced that which of these will be used in the Premier League from next season?","LOL","VAR","CSI",1,2
"What was the nickname of England's first choice left-back at the 1990 FIFA World Cup?","Speedy","Sparky","Psycho",2,3
"Spanish international Diego Costa was born in which of these countries?","Argentina","Brazil","Portugal",1,4
"Which of these teams was the last outside of the Old Firm to win the top division in Scotland?","Hearts","Dundee United","Aberdeen",2,5
"Whose only goals as an Arsenal player consisted of a hat-trick on his full league debut for the club?","Francis Jeffers","David Bentley","Jermaine Pennant",2,6
"Which of these clubs played in a European Cup final in the 1970s?","Panathinaikos","Parma","Paris Saint-Germain",0,7
"In a recent report, which Premier League team’s ground ranked first for “best atmosphere”?","Crystal Palace","Newcastle United","Liverpool",1,8
"Which of these players scored the most goals for their national side?","Carlo Ancelotti","Antonio Conte","Didier Deschamps",2,9
"Who is the last England player to have scored a goal for the national team in extra time?","Michael Owen","Frank Lampard","Emile Heskey",1,10
"Which of these South American players has made the most Premier League appearances?","Carlos Tévez","Pablo Zabaleta","Nolberto Solano",2,11
"Which of these was the most fouled player in the 2017-2018 Premier League season?","Richarlison","Wilfried Zaha","Eden Hazard",0,12
"Which sportswear manufacturer’s logo includes a colour named after its founders?","Umbro","Ellesse","K-Swiss",2,10
