"The “I” in “GIF”, the commonly used digital image format, stands for what?","Information","Interchange","Issue",1,5
"On which of these devices would you commonly find an EPG?","Trumpet","Television","Thermometer",1,3
"On WhatsApp, what colours do the two ticks turn when the message has been read by the recipient?","Blue","Green","Yellow",0,4
"What social media unit is limited to 280 text characters?","Facebook post","Tumblr entry","Tweet",2,4
"What modern technology was originally developed for use by an oil company?","Internet","Selfie stick","Auto-Tune",2,11
"Which of these is a type of portable media player made by Apple?","iPod","youPod","peaPod",0,1
"Which of these tech companies does NOT have its world headquarters in Silicon Valley?","Adobe","Apple","Amazon",2,5
"Globally, what was the most Googled “How to” question of 2017?","How to make slime","How to play Fortnite","How to buy Bitcoin",0,9
"Which of these is the name of a company once sold for billions of dollars?","Insurance.com","Casino.com","Broadcast.com",2,13
"Before changing his surname, which of these individuals was born a “Jorgensen”?","Jeff Bezos","Bill Gates","Mark Zuckerberg",0,7
"What name is given to the flashing lights at a level crossing that warn of an approaching train?","Criss-cross","Wig-wag","Zig-zag",1,9
"Which of these technology companies was founded by a former Communist soldier?","Huawei","Samsung","HTC",0,15
"At the end of 2017, which of these was classified as the most popular emoji in China?","Face with tears of joy","Thumbs up","Party popper",0,9
"The grounds of Google's headquarters have included a bust of which Hollywood actor?","Lloyd Bridges","Kirk Douglas","Steve McQueen",0,12
"What aspect of Apple's new product demo caused social media uproar this week?","Font choice","Lack of camera","Price",0,9
"The Duchess of Sussex was surprised to meet an old friend from which social platform while on walkabout in New Zealand?","Instagram","Facebook","Twitter",0,10
"Belgian scientists have discovered a way of storing electronic data in which substance?","Powder","Beer","Potatoes",0,11
"Which of these was a mobile phone released in 1999?","Boeing 747","Nokia 3210","Atari 5200",1,3
"Which of these features was launched on Instagram in August 2016?","Filters","Emojis","Stories",2,6
"Referring to a cashpoint, what does the “T” in the abbreviation ATM stand for?","Teller","Transfer","Transaction",0,6
"Whose unorthodox burrito-eating technique got social media talking this week?","Justin Timberlake","Keanu Reeves","Justin Bieber",2,9
"Of these England footballers, who has the highest number of Twitter followers?","Marcus Rashford","Dele Alli","Ashley Young",2,10
"Which of the following best describes a Tamagotchi?","Motorbike","Martial art","Digital pet",2,3
"What does the “O” stand for in the acronym of the digital display “OLED”?","Organic","Original","Output",0,5
"Snapchat announced new lenses for whom?","Cool cats","Groovy geese","Funky fish",0,2
"A robotic dog dancing to which song went viral?","Thriller","Uptown Funk","Get Lucky",1,5
"The first president of Facebook co-founded which of these internet services in the 90s?","Napster","Yahoo!","Netscape",0,6
